CÓDIGO DE CENTRO;CUANTÍA DE LAS BECAS
28013395;2925
28013395;3000
28013395;3000
28013395;3000
28013395;3000
28013395;3000
28013504;3000
28013504;3000
28013504;3000
28013504;3000
28013504;3000
28013504;3000
28013565;3000
28013565;3000
28013565;3000
28013565;3000
28013565;3000
28013565;3000
28013565;3000
28013565;3000
28013607;3000
28013607;3000
28013607;3000
28013607;3000
28013607;3000
28013607;3000
28013607;3000
28013607;3000
28013723;2900
28013723;3000
28013723;3000
28013723;3000
28013723;3000
28013723;3000
28013723;3000
28013772;3000
28013772;3000
28013772;3000
28013772;3000
28013772;3000
28013772;3000
28013772;3000
28013772;3000
28013772;3000
28013772;3000
28013772;3000
28013784;3000
28013784;3000
28013784;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013802;3000
28013838;3000
28013838;3000
28013851;2758
28013851;2758
28013851;2758
28013851;2758
28013851;2758
28013851;2758
28013991;3000
28013991;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014193;3000
28014363;0,16
28014417;2880
28014417;2880
28014417;2880
28014417;2880
28014417;2880
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014570;3000
28014685;3000
28014685;3000
28014685;3000
28014685;3000
28014685;3000
28014685;3000
28014910;3000
28014910;3000
28014910;3000
28014910;3000
28014910;3000
28014910;3000
28014910;3000
28014958;3000
28014958;3000
28014958;3000
28014958;3000
28014958;3000
28014958;3000
28014958;3000
28014958;3000
28014958;3000
28014958;3000
28014958;3000
28015033;3000
28015033;3000
28015033;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015148;3000
28015562;3000
28015562;3000
28015562;3000
28015562;3000
28015562;3000
28015562;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015653;3000
28015902;3000
28015902;3000
28015902;3000
28015902;3000
28015902;3000
28015902;3000
28015902;3000
28015902;3000
28015987;3000
28015987;3000
28015987;3000
28015987;3000
28015987;3000
28015987;3000
28016256;3000
28016645;2652
28016645;2652
28016645;2652
28016645;2652
28016645;2652
28016645;2652
28016645;2652
28016645;2652
28016694;3000
28019270;3000
28019270;3000
28019270;3000
28019270;3000
28019270;3000
28019270;3000
